Current Label,Recommended Label
Fuhrparks,Fuhrpark
Zuweisungseinstellungen,Zuweisungen
Ruhetag (Wochenplan section),Freier Tag
Vergangen,Vergangene
MwSt.-Belegerfassung für Mautgebühren der Flotte (Mautquittungen section),Erfassung von MwSt.-Belegen für Mautgebühren der Flotte
Schichtfrei,Schichtfreie Zeiten
Einhaltung der EU-Lenk- und Ruhezeiten überwachen (min. 11 Std. tägliche Ruhezeit) (Schichtfrei Section),Überwachung der Einhaltung der EU-Lenk- und Ruhezeiten (mindestens 11 Stunden tägliche Ruhe)
Fahrten Mo–So (Dashboard section),Fahrten (Mo–So)
Kein Fahrer zugewiesen (Dashboard section),Noch kein Fahrer zugewiesen
Fahrer verfügbar (Dashboard section),Verfügbare Fahrer
Kommender Urlaub (Dashboard section),Geplanter Urlaub
